,stickiness,simulation,average_degree,average_clustering,transitivity,diameter,radius,entropy,dead_ends,ways_4
0,6000.0,36,2.2998554913294798,0.08387524084778465,0.13604336043360435,165,83,1.9463142218573815,0.3475433526011561,0.05238439306358381
0,8500.0,37,2.312063808574277,0.0897308075772678,0.1436111452068246,220,110,2.0778309662934435,0.3497008973080758,0.05682951146560319
0,8500.0,23,2.2983234714003946,0.08431952662721863,0.13684855916615574,211,106,2.0878337875761015,0.35552268244575935,0.058431952662721894
0,100.0,16,2.3773584905660377,0.0880503144654088,0.13157894736842105,15,8,1.319139069255687,0.32075471698113206,0.07547169811320754
0,1000.0,46,2.287526427061311,0.07681465821000702,0.12834224598930483,63,32,1.7090600820102535,0.35306553911205074,0.048625792811839326
0,100.0,28,2.125,0.020833333333333332,0.0375,17,9,1.27944963299735,0.3958333333333333,0.020833333333333332
0,100.0,14,2.217391304347826,0.10507246376811594,0.1724137931034483,15,8,1.393333288816398,0.391304347826087,0.06521739130434782
0,1000.0,44,2.3189655172413794,0.09841954022988517,0.15319148936170213,59,30,1.7185841661497925,0.3448275862068966,0.04310344827586207
0,8500.0,35,2.311066799601196,0.08848454636091693,0.14201401696790852,219,110,2.0814147277467576,0.348703888334995,0.05633100697906281
0,8500.0,21,2.30217606330366,0.08761951862842032,0.14029042579374845,215,108,2.058101853732682,0.3528684470820969,0.052176063303659745
0,6000.0,20,2.3079646017699114,0.089616519174042,0.1421577198810981,168,84,1.9868401775601252,0.35327433628318583,0.0552212389380531
0,6000.0,34,2.340853870183964,0.09389101006594962,0.14651162790697675,174,87,1.9702530417362618,0.34363068379035056,0.06421381464769177
0,1000.0,8,2.2222222222222223,0.07367149758454099,0.12291933418693982,49,25,1.6430686850001004,0.3864734299516908,0.05555555555555555
0,250.0,1,2.4,0.08589743589743591,0.12857142857142856,31,16,1.5192507549135466,0.2923076923076923,0.06153846153846154
0,500.0,22,2.2479338842975207,0.08608815426997243,0.14285714285714285,42,21,1.4963764659794248,0.3677685950413223,0.045454545454545456
0,500.0,36,2.3660714285714284,0.078125,0.12526096033402923,37,19,1.5454184603480083,0.33482142857142855,0.07142857142857142
0,4500.0,41,2.279091330551692,0.08004945139854756,0.12984542211652794,156,78,1.926540100415383,0.35095039406583217,0.04033379694019471
0,3000.0,13,2.3145275035260933,0.0936765397273152,0.15088449531737774,110,55,1.9160063058975376,0.3441466854724965,0.059943582510578276
0,50.0,45,2.2580645161290325,0.06451612903225806,0.1,11,6,1.1945537645126654,0.3870967741935484,0.03225806451612903
0,50.0,44,2.1379310344827585,0.034482758620689655,0.06,10,5,1.1664569501845152,0.41379310344827586,0.034482758620689655
0,3000.0,12,2.278409090909091,0.07492897727272703,0.12572254335260116,118,59,1.8372956257285546,0.35511363636363635,0.05397727272727273
0,4500.0,40,2.287756074321105,0.08273781165634453,0.13417842621382445,130,65,1.8720644620524867,0.35921867555979037,0.05717008099094807
0,500.0,37,2.3388429752066116,0.09090909090909088,0.14201183431952663,46,23,1.4856578389032418,0.34297520661157027,0.0743801652892562
0,500.0,23,2.340248962655602,0.11410788381742733,0.17964071856287425,49,25,1.509744325258556,0.3360995850622407,0.06224066390041494
0,250.0,0,2.2181818181818183,0.07272727272727271,0.13043478260869565,27,14,1.4930851795670237,0.39090909090909093,0.05454545454545454
0,6000.0,35,2.305327868852459,0.08498406193078385,0.13343480466768137,179,90,1.9423419664749246,0.35280054644808745,0.056010928961748634
0,1000.0,9,2.3262711864406778,0.08545197740112997,0.13664596273291926,60,30,1.6252678528584952,0.3389830508474576,0.05508474576271186
0,6000.0,21,2.2789043045179653,0.07470651013874105,0.12289287656334964,175,88,2.049313608804682,0.3582355033795802,0.046602632515119174
0,8500.0,20,2.303486330574367,0.08410668004347438,0.13510823587957202,222,111,2.0928071924185585,0.3518936543767244,0.05718585402558315
0,8500.0,34,2.31866766094954,0.09039688458032934,0.1424212838662436,218,109,2.0829143916891804,0.343027591349739,0.05642555306984837
0,1000.0,45,2.3438155136268346,0.08141160027952485,0.12817904374364192,64,32,1.7088320079411807,0.3270440251572327,0.04612159329140461
0,100.0,15,2.188679245283019,0.03459119496855346,0.06,18,9,1.3883510687062506,0.4339622641509434,0.07547169811320754
0,100.0,29,2.1,0.06666666666666667,0.13043478260869565,13,7,1.467262288773691,0.475,0.05
0,100.0,11,2.36,0.15666666666666665,0.22429906542056074,16,8,1.4976212883784485,0.34,0.08
0,1000.0,41,2.2942345924453282,0.09145129224652097,0.15294117647058825,69,35,1.613689008107585,0.36779324055666,0.07157057654075547
0,100.0,39,2.32,0.13999999999999999,0.22857142857142856,15,8,1.40220169795454,0.38,0.08
0,6000.0,25,2.279715302491103,0.08303677342823299,0.13517915309446255,173,87,2.038565128347813,0.3594306049822064,0.04768683274021352
0,8500.0,18,2.3202357563850686,0.08922724296005187,0.14055742431523305,223,112,2.063657976081561,0.34553045186640474,0.058202357563850685
0,6000.0,31,2.2913860333215172,0.08625782819331279,0.13896312132549438,171,86,2.0236917985185165,0.3555476781283233,0.05140021269053527
0,8500.0,30,2.2924294903513114,0.08654956292264514,0.13988095238095238,200,100,2.051764825247004,0.3582384957941613,0.05195447798119743
0,6000.0,19,2.328013582342954,0.09139784946236597,0.14165009940357853,193,97,1.9640906394844717,0.3409168081494058,0.05263157894736842
0,8500.0,24,2.2906453226613306,0.07945639486409875,0.12961567445365485,208,104,2.0966193637734456,0.3581790895447724,0.05202601300650325
0,250.0,4,2.325925925925926,0.10246913580246918,0.1702127659574468,25,13,1.3849747291272445,0.35555555555555557,0.08148148148148149
0,500.0,27,2.248995983935743,0.06091030789825973,0.1069182389937107,43,22,1.4175941181999026,0.37349397590361444,0.04417670682730924
0,500.0,33,2.396761133603239,0.09581646423751684,0.14444444444444443,45,23,1.5159014096010948,0.3157894736842105,0.07692307692307693
0,4500.0,44,2.277566539923954,0.07200570342205326,0.11890463607975019,160,80,1.916235515020252,0.36834600760456276,0.055133079847908745
